"Title","विद्यालयस्तरका पाठ्यपुस्तकहरुको पुस्तकालय"
"Name","पाठ्यपुस्तक पुस्तकालय"
"MetaDescription","Online interactive library of school textbooks - अनलाईन विद्यालयस्तरका अन्तरक्रियात्मक पाठ्यपुस्तक पुस्तकालय"
"MetaAuthor","Chandan Regmi - चन्दन रेग्मी, email: info@textbookslibrary.com - इ मेल: info@textbookslibrary.com"
"Menu1","मेनु"
"Smenu1","पुस्तकालय"
"Smenu2","कोर्सहरु "
"Smenu3","सहयोग"
"Smenu4","सम्पर्क"
"Menu2","भाषा"
"Lang1","अंग्रेजी"
"Lang2","नेपाली"
"Modal1header","परियोजनामा सहयोग गर्नुहोस्"
"Modal1content","यो भाग निर्माणाधीन अवस्थामा छ !"
"Modal2header","सम्पर्क गर्नुहोस्"
"Modal2content","यो भाग निर्माणाधीन अवस्थामा छ !"
"Header1","निशुल्क अन्तरक्रियात्मक पाठ्यपुस्तक तथा शिक्षाप्रद सामग्री"
"Bookcategory1","पाठ्यक्रम विकासकेन्द्र (नेपाल)बाट प्रकाशित पुस्तकहरु"
"Bookcategorydetail1","कक्षा १ देखि १० सम्मका पाठ्यपुस्तकहरु"
"Read","पढ"
"Leftfootertitle","हाम्रो बारेमा"
"Leftfootercontent01","This is a prototype system developed for a thesis submitted by Chandan Regmi, in fulfillment of the requirements  for the degree of Master of Science in Computer Science at Abo Akademi University."
"Centerfootertitle","हामीसंग जोडिनुहोस"
"Centerfootercontent01","फेसबुक"
"Centerfootercontent02","युट्युब"
"Centerfootercontent03","गिटहब"
"Rightfootertitle","न्युजलेटरको लागि सदस्यता लिनुहोस्"
"Formlabel01","नाम"
"Formlabel02","ई-मेल"
"Formplaceholder01","तपाईको नाम"
"Formplaceholder02","तपाईको ई-मेल ठेगाना"
"Formbutton01","पठाउनुहोस"
"Copyrighttext","2018, Chandan Regmi"
